Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
200067791,CA Pays Foix-Varilhes, 18 090    , 939    
200067817,CC Saône-Beaujolais, 21 070    , 1 483    
200067825,CA Gap-Tallard-Durance, 26 435    , 1 890    
200067841,CC de l'Alsace Bossue, 11 831    , 708    
200067866,CC Sèvre et Loire, 19 074    , 1 186    
200067874,CA de Haguenau, 42 004    , 2 824    
200067882,CC Bazois Loire Morvan, 13 116    , 475    
200067890,CC Morvan Sommets et Grands Lacs, 12 288    , 395    
200067908,CC Amognes Coeur du Nivernais, 5 882    , 233    
200067916,"CC Loire, Vignobles et Nohain", 17 798    , 851    
200067924,CC du Canton d'Erstein, 20 895    , 1 118    
200067932,CA Golfe du Morbihan - Vannes Agglomération, 103 761    , 5 154    
200067940,CC Couserans-Pyrénées, 27 070    , 877    
200067957,CC Haut Chemin-Pays de Pange, 7 619    , 352    
200067965,CA de la Région de Compiègne et de la Basse Automne, 39 992    , 2 541    
200067973,CC Thelloise, 25 362    , 1 153    
200067981,CA Guingamp-Paimpol Armor-Argoat Agglomération, 45 402    , 2 191    
200067999,CA du Beauvaisis, 47 383    , 2 953    
200068005,CC de l'Oise Picarde, 9 442    , 456    
200068047,CA Creil Sud Oise, 33 913    , 1 892    
200068070,CC Loue-Lison, 12 490    , 605    
200068088,"CC Loire, Nièvre et Bertranges", 12 550    , 464    
200068096,CC Champsaur-Valgaudemar, 14 875    , 459    
200068104,CA de la Provence Verte, 48 807    , 2 412    
200068112,CC du Pays de Saverne, 17 067    , 1 070    
200068120,CA Quimper Bretagne Occidentale, 54 296    , 3 476    
200068146,CC Sarrebourg Moselle Sud, 25 428    , 1 284    
200068229,CC des Baronnies en Drôme Provençale, 16 291    , 874    
200068278,CC Berry Loire Puisaye, 11 248    , 434    
200068294,CC des Deux Vallées Vertes, 8 201    , 326    
200068369,CC de Mirecourt Dompaire, 9 829    , 474    
200068377,CC de la Porte des Vosges Méridionales, 16 685    , 952    
200068435,CC Coeur du Perche, 7 462    , 287    
200068443,CC Andaine - Passais, 9 803    , 368    
200068450,CC Argentan Intercom, 18 344    , 1 059    
200068468,CC des Pays de l'Aigle, 14 789    , 755    
200068484,CC des Causses à l'Aubrac, 10 492    , 501    
200068500,CA de Cambrai, 39 430    , 2 122    
200068534,CC Terroir de Caux, 17 175    , 878    
200068542,CC Les Balcons du Dauphiné, 33 169    , 1 631    
200068559,CC de l'Ouest Vosgien, 12 680    , 756    
200068567,CC Les Vals du Dauphiné, 27 792    , 1 442    
200068625,"CC Alpes-Provence-Verdon ""sources de Lumière""", 18 110    , 452    
200068641,CA Le Muretain Agglo, 49 854    , 2 808    
200068658,"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles", 24 652    , 1 442    
200068666,CA de Saint-Dizier Der et Blaise, 30 094    , 1 510    
200068674,CA Grand Lac - CA du Lac du Bourget, 40 933    , 2 379    
200068682,CC Terre d'Eau, 10 103    , 554    
200068757,CA d'Épinal, 58 421    , 3 144    
200068765,CC du Sisteronais-Buëch, 17 381    , 925    
200068773,CC des Vosges Côté Sud Ouest, 7 518    , 353    
200068781,CA Valence Romans Agglo, 108 204    , 7 408    
200068799,CC Intercom de la Vire au Noireau, 25 770    , 1 267    
200068807,CC Lèze Ariège, 13 606    , 679    
200068815,CC Coeur de Garonne, 16 165    , 724    
200068831,CC Pays Ségali, 10 112    , 488    
200068856,CC des Hauts du Perche, 5 887    , 197    
200068864,CC de la Mossig et du Vignoble, 11 005    , 693    
200068872,CC Éguzon - Argenton - Vallée de la Creuse, 12 921    , 552    
200068880,CC Champagne Boischauts, 5 725    , 296    
200068914,CC La Rochefoucauld - Porte du Périgord, 12 135    , 533    
200068922,CC du Confluent et des Coteaux de Prayssas, 9 300    , 519    
200068930,CC Fumel Vallée du Lot, 14 199    , 661    
200068948,CC Albret Communauté, 15 249    , 826    
200068955,CC Anjou Loir et Sarthe, 12 527    , 628    
200068963,CC Maine Coeur de Sarthe, 9 181    , 361    
200068989,CA Dinan Agglomération, 57 311    , 2 557    
200068997,CA Arlysère, 42 383    , 2 083    
200069003,CC du Barséquanais en Champagne, 11 047    , 1 081    
200069029,CA des Deux Baies en Montreuillois, 59 439    , 2 176    
200069037,CA du Pays de Saint-Omer, 47 388    , 2 443    
200069052,CA Grand Belfort, 52 209    , 2 559    
200069060,CC des Vosges du Sud, 7 407    , 265    
200069086,CC Leff Armor Communauté, 16 584    , 724    
200069094,CC Isle et Crempse-en-Périgord, 8 386    , 359    
200069102,CC Randon - Margeride, 4 322    , 138    
200069110,CA Chambéry Métropole-Coeur des Bauges, 68 450    , 4 356    
200069128,CC Mont Lozère, 6 120    , 145    
200069136,CC des Cévennes Au Mont Lozère, 6 023    , 164    
200069144,CC des Hautes Terres de l'Aubrac, 4 334    , 187    
200069151,CC Gorges Causses Cévennes, 7 029    , 297    
200069169,CC Dômes Sancy Artense, 8 653    , 325    
200069177,CC Mond'Arverne Communauté, 18 963    , 665    
200069185,CC des Terres d'Apcher-Margeride-Aubrac, 7 500    , 360    
200069193,CC de la Dombes, 16 504    , 1 006    
200069227,CC Pays Fort Sancerrois Val de Loire, 13 163    , 734    
200069235,CC du Haut Pays du Montreuillois, 7 438    , 484    
200069250,CA Troyes Champagne Métropole, 86 164    , 4 843    
200069268,CC Aubrac Lot Causses Tarn, 5 797    , 266    
200069300,CA Tarbes-Lourdes-Pyrénées, 69 999    , 3 846    
200069383,CC du Grand Villefranchois, 17 547    , 916    
200069391,CC Lamballe Terre et Mer, 40 489    , 1 908    
200069409,CA Saint-Brieuc Armor Agglomération, 81 965    , 4 465    
200069417,CC Pays d'Orthe et Arrigans, 11 431    , 555    
200069425,CA Mont-Saint-Michel-Normandie, 50 825    , 2 687    
200069433,CC de Vezouze en Piémont, 6 576    , 290    
200069441,CC du Pays de Bitche, 16 652    , 717    
200069458,CC des Vallées d'Auge et du Merlerault, 9 690    , 527    
200069482,CC des Campagnes de l'Artois, 14 450    , 848    
200069516,CC Seulles Terre et Mer, 8 083    , 303    
200069524,CC Pré-Bocage Intercom, 10 968    , 538    
200069532,CA Lisieux Normandie, 39 553    , 2 136    
200069540,CC Norge et Tille, 6 245    , 296    
200069565,CC des Lacs et Montagnes du Haut-Doubs, 11 664    , 365    
200069581,CC Convergence Garonne, 14 703    , 784    
200069599,CC Rurales de l'Entre-deux-Mers, 8 223    , 685    
200069615,CC Bresse Haute Seille, 10 335    , 536    
200069623,CC Champagnole Nozeroy Jura, 12 583    , 730    
200069631,CC Terres de Chalosse, 8 474    , 438    
200069649,CC Chalosse Tursan, 12 733    , 811    
200069656,CC Coeur Haute Lande, 8 635    , 459    
200069664,CC Meuse Rognon, 6 479    , 276    
200069672,CC du Ternois, 17 793    , 1 046    
200069698,CC Mâconnais - Tournugeois, 9 181    , 570    
200069722,CC Interrégionale Aumale - Blangy-sur-Bresle, 10 948    , 659    
200069730,CC des Quatre Rivières, 15 384    , 848    
200069748,CC Val de Gâtine, 10 728    , 518    
200069755,CC Mellois-en-Poitou, 25 752    , 1 188    
200069763,CC du Haut-Poitou, 18 511    , 790    
200069821,CA Fécamp Caux Littoral Agglomération, 20 868    , 975    
200069839,CC de la Côte d'Albâtre, 16 689    , 764    
200069847,CC Plateau de Caux-Doudeville-Yerville, 9 122    , 478    
200069854,CU du Grand-Poitiers, 103 751    , 5 373    
200069912,CC des Forêts du Perche, 4 657    , 206    
200069953,CC des Portes Euréliennes d'Ile-de-France, 22 322    , 986    
200069961,CC du Grand Châteaudun, 22 681    , 1 148    
200069995,CC Médoc Coeur de Presqu'ile, 15 912    , 1 026    
200070035,CC du Civraisien en Poitou, 16 199    , 739    
200070043,CC Vienne et Gartempe, 25 423    , 1 102    
200070068,CC Communauté Bray-Eawy, 11 920    , 708    
200070092,CA du Libournais, 43 712    , 2 518    
200070100,CC du Val de Sully, 12 861    , 602    
200070118,CC Val de Saône Centre, 8 684    , 429    
200070126,CC Seine et Aube, 5 000    , 241    
200070142,CC Lyons Andelle, 10 124    , 434    
200070159,CC Coeur de Beauce, 12 143    , 757    
200070167,CC Terres de Perche, 8 551    , 339    
200070183,CC des Terres du Val de Loire, 22 118    , 1 099    
200070233,"CC Terres de Montaigu, Cc Montaigu-Rocheservière", 19 941    , 1 187    
200070282,CC Lavalette Tude Dronne, 11 231    , 559    
200070290,CC Pays de l'Audunois et du Bassin de Landres, 11 101    , 323    
200070308,CA Mâconnais Beaujolais Agglomération, 39 032    , 3 028    
200070316,"CC Entre Arroux, Loire et Somme", 13 727    , 565    
200070324,CC du Territoire de Lunéville à Baccarat, 21 370    , 1 020    
200070332,"CC du Pays de Chalindrey, de Vannier Amance et de la Région de Bourbonne-Les-Bains", 11 536    , 421    
200070340,CC Haute-Maurienne Vanoise, 13 593    , 460    
200070365,CC Corbières Salanque Méditerranée, 12 044    , 530    
200070373,CC Loir-Lucé-Bercé, 14 175    , 650    
200070407,CA Pays d'Issoire, 32 471    , 1 479    
200070431,CC Saint-Marcellin Vercors Isère Communauté, 21 376    , 1 185    
200070449,CC Inter-Caux-Vexin, 21 894    , 1 189    
200070464,CC Coeur de Maurienne Arvan, 17 610    , 792    
200070506,CC Pays de Nexon Monts de Chalus, 7 588    , 308    
200070514,CA du Grand Cognac, 36 869    , 2 737    
200070530,CC du Grand Autunois Morvan, 23 333    , 988    
200070548,CC La Clayette Chauffailles en Brionnais, 9 090    , 493    
200070555,CC de la Veyle, 9 694    , 438    
200070563,CC Terres Touloises, 19 978    , 1 069    
200070571,CC Coeur de Berry, 9 408    , 385    
200070589,CC de Seille et Grand Couronné, 7 701    , 337    
200070647,CA Bergeracoise, 33 423    , 2 002    
200070662,CC Bretagne Porte de Loire Communauté, 14 175    , 662    
200070670,CC du Pays de Dol et de la Baie du Mont-Saint-Michel, 12 931    , 611    
200070688,CC Couesnon Marches de Bretagne, 11 010    , 471    
200070712,CC Thiers Dore et Montagne, 23 252    , 1 124    
200070720,CC Médoc Atlantique, 34 756    , 806    
200070738,CC Mad et Moselle, 8 882    , 516    
200070746,CA Sarreguemines Confluences, 32 528    , 1 752    
200070753,CA Riom Limagne et Volcans, 31 925    , 1 544    
200070761,CC Ambert Livradois Forez, 23 882    , 860    
200070779,CC Brie des Rivières et Châteaux, 16 016    , 737    
200070787,CC du Plateau de Lannemezan, 10 924    , 489    
200070795,CC du Pays de Trie et du Magnoac, 4 165    , 230    
200070803,CC des Coteaux du Val-d'Arros, 5 374    , 182    
200070811,CC Pyrénées Vallées des Gaves, 20 581    , 691    
200070829,CC Neste Barousse, 5 273    , 169    
200070845,CC Orne Lorraine Confluences, 26 075    , 999    
200070852,CC Usses et Rhône, 9 597    , 384    
200070894,CC de Gevrey-Chambertin et de Nuits-Saint-Georges, 13 785    , 1 071    
200070902,CC Auxonne Pontailler Val de Saône, 10 837    , 449    
200070910,CC Tille et Venelle, 2 544    , 132    
200070928,CC Terre de Picardie, 8 174    , 490    
200070936,CC Ponthieu-Marquenterre, 25 283    , 923    
200070944,CC du Vimeu, 10 946    , 563    
200070951,CC du Territoire Nord Picardie, 14 081    , 641    
200070969,CC Avre Luce Noye, 9 992    , 456    
200070977,CC du Grand Roye, 11 624    , 691    
200070985,CC de l'Est de la Somme, 9 851    , 474    
200070993,CA de la Baie de Somme, 28 719    , 1 398    
200071017,CC des Terres d'Auxois, 9 794    , 495    
200071025,CC Haute-Provence-Pays de Banon, 6 689    , 253    
200071033,CC Jabron-Lure-Vançon-Durance, 3 011    , 131    
200071041,CC du Chaourçois et du Val d'Armance, 6 133    , 282    
200071058,CC Les Avant-Monts, 14 684    , 576    
200071066,CA de Saint-Dié-Des-Vosges, 44 737    , 1 967    
200071074,CC Les Portes de l'Ile de France, 9 848    , 441    
200071082,CA Montluçon Communauté, 37 852    , 1 775    
200071116,CA Ecla (Espace Communautaire Lons Agglomération), 19 378    , 1 500    
200071140,CA Moulins Communauté, 35 894    , 1 895    
200071157,CC des Hautes-Vosges, 26 803    , 1 107    
200071165,CA Les Sables d'Olonne Agglomération, 42 543    , 1 673    
200071173,CC du Pays Arnay Liernais, 5 113    , 229    
200071181,CC Somme Sud-Ouest, 17 790    , 877    
200071199,CC Plaine Limagne, 9 684    , 393    
200071207,CC de Pouilly-en-Auxois/Bligny-sur-Ouche, 5 574    , 312    
200071215,CC Chavanon Combrailles et Volcans, 9 297    , 357    
200071223,CC Nièvre et Somme, 12 438    , 473    
200071298,CC des Terres du Lauragais, 16 681    , 953    
200071314,CC Save Garonne et Côteaux de Cadours, 14 220    , 597    
200071363,CA Vichy Communauté, 52 918    , 2 382    
200071371,CC Bresse et Saône, 11 208    , 584    
200071389,CC Saint-Pourçain Sioule Limagne, 19 736    , 961    
200071405,CC Ardèche Rhône Coiron, 11 377    , 446    
200071413,CA Privas Centre Ardèche, 24 997    , 1 238    
200071454,CA Evreux Portes de Normandie, 52 648    , 2 905    
200071470,CC Entr'Allier Besbre et Loire, 14 906    , 717    
200071496,CC du Bocage Bourbonnais, 8 648    , 356    
200071504,CC des Collines du Perche Normand, 7 544    , 353    
200071512,CC Commentry Montmarault Néris Communauté, 16 206    , 619    
200071520,CC Domfront Tinchebray Interco, 9 487    , 423    
200071538,CC Terres de Bresse, 11 340    , 451    
200071546,CC Sud Retz Atlantique, 12 966    , 739    
200071553,CC Loire Layon Aubance, 24 502    , 1 432    
200071579,CC Bresse Louhannaise Intercom', 15 762    , 831    
200071587,CC Loches Sud Touraine, 29 794    , 1 554    
200071595,"CC Arbois, Poligny, Salins, Coeur du Jura", 12 480    , 823    
200071629,CC Challans-Gois Communauté, 22 946    , 1 475    
200071645,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais, 4 892    , 222    
200071652,CC du Pays Fertois et du Bocage Carrougien, 2 864    , 136    
200071678,CA du Choletais, 48 109    , 3 109    
200071751,CA du Bassin de Bourg-en-Bresse, 64 119    , 3 943    
200071769,CC Picardie des Châteaux, 8 120    , 342    
200071777,"CC d'Arcis, Mailly, Ramerupt", 5 812    , 366    
200071785,CA Chauny Tergnier la Fère, 27 078    , 1 081    
200071819,CC du Périgord Nontronnais, 11 217    , 472    
200071827,CA du Grand Angoulême, 73 342    , 4 016    
200071843,CC du Vexin Normand, 15 327    , 859    
200071850,CC du Pithiverais-Gâtinais, 13 279    , 579    
200071868,CC des Vallées du Haut-Anjou, 15 093    , 717    
200071876,CA Saumur Val de Loire, 51 006    , 2 900    
200071884,CC Le Grand Charolais, 22 677    , 1 194    
200071892,CA du Saint-Quentinois, 41 874    , 2 202    
200071900,CC Vendée Grand Littoral, 28 070    , 765    
200071918,CC du Pays de Saint-Fulgent - les Essarts, 11 432    , 661    
200071926,CC du Limouxin, 17 084    , 967    
200071934,CC Pays de Fontenay-Vendée, 18 627    , 971    
200071942,CC Haut Limousin en Marche, 17 460    , 687    
200071967,CC Pays d'Évian Vallée d'Abondance, 31 612    , 1 150    
200071983,CC Thiérache Sambre et Oise, 8 606    , 395    
200071991,CC Retz-en-Valois, 14 574    , 693    
200072007,CC de la Montagne d'Ardèche, 6 194    , 166    
200072015,CA Annonay Rhône Agglo, 23 989    , 1 330    
200072023,CC Coeur de Charente, 12 463    , 582    
200072031,CA de la Région de Château-Thierry, 26 335    , 1 498    
200072049,CC de Charente Limousine, 22 825    , 908    
200072056,CC Porte du Jura, 6 050    , 265    
200072064,CC Val-de-Cher-Controis, 26 778    , 1 352    
200072072,CA Territoires Vendômois, 29 719    , 1 533    
200072080,CC du Pays de Saint-Éloy, 11 666    , 373    
200072098,CC Combrailles Sioule et Morge, 10 588    , 387    
200072106,CC Adour Madiran, 12 446    , 579    
200072130,CA du Pays de Meaux, 39 283    , 2 339    
200072304,CC Vallée de l'Ubaye - Serre-Ponçon, 13 966    , 420    
200072312,CA Seine Normandie Agglomération, 39 922    , 2 048    
200072320,CC Val de Gers, 5 219    , 256    
200072346,CA du Pays de Fontainebleau, 35 085    , 1 933    
200072452,CA Fougères Agglomération, 27 735    , 1 510    
200072460,"CA de Béthune-Bruay, Artois-Lys Romane", 124 020    , 4 760    
200072478,CC Pays d'Opale, 11 445    , 461    
200072544,CC des Deux Morin, 12 395    , 561    
200072635,CC Pyrénées Haut Garonnaises, 18 149    , 528    
200072643,CC Coeur et Coteaux du Comminges, 25 673    , 1 398    
200072650,CC Touraine Vallée de l'Indre, 22 556    , 1 020    
200072668,CC Touraine Val de Vienne, 14 294    , 676    
200072676,CC Maine Saosnois, 15 259    , 695    
200072684,CC Le Gesnois Bilurien, 14 476    , 583    
200072692,CC des Vallées de la Braye et de l'Anille, 9 202    , 441    
200072700,CC Haute Sarthe Alpes Mancelles, 12 163    , 494    
200072718,CC de la Champagne Conlinoise et du Pays de Sillé, 9 114    , 393    
200072726,CC Châteaubriant-Derval, 21 553    , 1 189    
200072734,CC Estuaire et Sillon, 15 102    , 759    
200072825,CC Mirebellois et Fontenois, 5 757    , 251    
200072874,CC Val Briard, 11 126    , 692    
200072882,CC de Vie et Boulogne, 18 229    , 960    
200072981,CC Touraine Ouest Val de Loire, 16 783    , 785    
200072999,CC du Grand Langres, 12 060    , 740    
200073013,CC Carnelle Pays-De-France, 13 226    , 637    
200073096,CA Hermitage-Tournonais-Herbasse-Pays de Saint-Félicien, 27 645    , 1 601    
200073104,CC de l'Ile-Rousse - Balagne, 11 500    , 487    
200073112,CC Sud Sarthe, 12 773    , 479    
200073120,CC Nebbiu - Conca d'Oro, 6 417    , 275    
200073138,CC Pasquale Paoli, 6 327    , 186    
200073146,CC Cagire Garonne Salat, 11 597    , 427    
200073161,CC Touraine-Est Vallées, 16 695    , 883    
200073237,CC de Gâtine et Choisilles - Pays de Racan, 9 401    , 476    
200073245,CC du Bassin d'Aubenas, 23 040    , 1 383    
200073252,CC de la Castagniccia-Casinca, 9 433    , 420    
200073260,CC Sud Vendée Littoral, 38 851    , 1 456    
200073344,CA Rambouillet Territoires, 35 169    , 1 976    
200073393,CC des Rives du Haut-Allier, 13 884    , 522    
200073401,CC Mézenc-Loire-Meygal, 8 444    , 318    
200073419,CA du Puy-en-Velay, 49 461    , 2 715    
200073427,CC Marches du Velay-Rochebaron, 15 818    , 810    
200077014,CA Vienne Condrieu, 40 576    , 2 635    
200077055,CA Coulommiers Pays de Brie, 33 693    , 1 630    
240100578,CC du Plateau d'Hauteville, 3 724    , 170    
240100610,CC de la Côtière à Montluel, 9 436    , 594    
240100750,CC du Pays de Gex, 44 220    , 1 671    
240100800,CC de Miribel et du Plateau, 9 619    , 758    
240100883,CC de la Plaine de l'Ain, 36 325    , 1 906    
240100891,CC du Pays Bellegardien (Ccpb), 10 553    , 530    
240200444,CC de la Thiérache du Centre, 13 267    , 669    
240200469,CC du Pays de la Serre, 6 902    , 344    
240200477,CA du Soissonnais, 25 414    , 1 488    
240200493,CC du Pays du Vermandois, 14 196    , 602    
240200501,CC du Val de l'Aisne, 9 193    , 440    
240200519,CC du Canton d'Oulchy-le-Château, 2 657    , 149    
240200576,CC de la Champagne Picarde, 9 434    , 469    
240200584,CC du Canton de Charly-sur-Marne, 7 218    , 385    
240200592,CC du Chemin des Dames, 2 882    , 102    
240200600,CC des Trois Rivières, 10 834    , 447    
240200634,CC des Portes de la Thiérache, 3 724    , 245    
240300491,CC du Pays de Lapalisse, 4 913    , 228    
240300558,CC du Pays de Tronçais, 5 660    , 184    
240300566,CC du Val de Cher, 3 057    , 115    
240300657,CC du Pays d'Huriel, 4 779    , 132    
240400440,CC Pays Forcalquier et Montagne de Lure, 6 587    , 298    
240500439,CC du Briançonnais, 25 803    , 940    
240500462,CC du Pays des Ecrins, 8 774    , 277    
240600551,CA de la Riviera Française, 64 182    , 2 126    
240600585,CA de Sophia Antipolis, 125 539    , 7 115    
240600593,CC du Pays des Paillons, 13 153    , 526    
240700302,CC du Pays Beaume-Drobie, 7 209    , 288    
240700617,CC Val de Ligne, 4 284    , 138    
240700716,CC du Val d'Ay, 3 420    , 98    
240700815,CC Berg et Coiron, 4 399    , 200    
240700864,CC du Rhône aux Gorges de l'Ardèche, 10 132    , 401    
240800821,"CC Ardenne, Rives de Meuse", 14 705    , 607    
240800847,CC des Portes du Luxembourg, 10 119    , 414    
240800862,CC des Crêtes Préardennaises, 11 165    , 534    
240800920,CC de l'Argonne Ardennaise, 9 948    , 630    
240900431,CC du Pays de Tarascon, 6 752    , 237    
240900464,CC du Pays d'Olmes, 10 250    , 423    
241000223,"CC Forêts, Lacs, Terres en Champagne", 3 122    , 141    
241000405,CC de la Région de Bar-sur-Aube, 6 491    , 514    
241000447,CC du Pays d'Othe, 4 752    , 164    
241000488,CC de l'Orvin et de l'Ardusson, 4 188    , 193    
241100593,CA Le Grand Narbonne, 110 666    , 3 904    
241200187,CA Rodez Agglomération, 30 228    , 2 302    
241200542,CC du Réquistanais, 3 644    , 196    
241200567,CC de Millau Grands Causses, 17 584    , 1 025    
241200625,CC du Pays Rignacois, 3 126    , 143    
241200641,CC Conques-Marcillac, 7 056    , 297    
241200658,CC du Pays de Salars, 4 118    , 202    
241200674,CC du Plateau de Montbazens, 3 633    , 164    
241200765,CC de Lévézou Pareloup, 4 466    , 204    
241200807,CC Aveyron Bas Ségala Viaur, 3 749    , 161    
241200906,CC Larzac et Vallées, 4 948    , 204    
241200914,CC de la Muse et des Raspes du Tarn, 4 433    , 130    
241300375,CC Vallée des Baux-Alpilles (Cc Vba), 16 755    , 1 212    
241300417,CA d'Arles-Crau-Camargue-Montagnette, 44 300    , 2 831    
241400415,CC Coeur Côte Fleurie, 38 945    , 1 287    
241400514,CC du Pays de Falaise, 13 404    , 710    
241400555,CC de Bayeux Intercom, 16 081    , 1 010    
241400860,CC Coeur de Nacre, 17 330    , 576    
241400878,CC Blangy-Pont-l'Evêque Intercom, 11 581    , 651    
241500230,CA du Bassin d'Aurillac, 30 656    , 1 848    
241500255,CC du Pays Gentiane, 4 880    , 191    
241500271,CC du Pays de Mauriac, 4 689    , 289    
241501055,CC Sumène - Artense, 6 319    , 192    
241501089,CC Cère et Goul en Carladès, 3 925    , 150    
241501139,CC du Pays de Salers, 7 624    , 254    
241600303,CC du Rouillacais, 5 124    , 339    
241700434,CA de la Rochelle, 95 753    , 5 467    
241700459,CC de l'Ile de Ré, 22 329    , 874    
241700517,CC Charente-Arnoult-Coeur de Saintonge, 8 419    , 368    
241700624,CC de l'Ile d'Oléron, 31 111    , 1 010    
241700632,CC de Gémozac et de la Saintonge Viticole, 7 488    , 380    
241700640,CA Royan Atlantique, 78 564    , 2 854    
241700699,CC du Bassin de Marennes, 9 221    , 468    
241800325,CC Les Villages de la Forêt, 2 888    , 111    
241800374,CC La Septaine, 4 991    , 206    
241800424,CC Le Dunois, 4 093    , 194    
241800432,CC Les Trois Provinces, 3 488    , 166    
241800457,CC Fercher Pays Florentais, 6 173    , 225    
241800507,CA Bourges Plus, 52 125    , 3 035    
241900133,CC de Ventadour - Egletons - Monédières, 7 479    , 299    
241927201,CA Tulle Agglo, 27 144    , 1 364    
241927243,CC du Pays d'Uzerche, 6 158    , 273    
242000354,CA de Bastia, 27 334    , 2 144    
242000495,CC de l'Alta Rocca, 11 210    , 302    
242000503,CC Celavu-Prunelli, 5 442    , 194    
242010056,CA du Pays Ajaccien, 40 637    , 3 213    
242010130,CC du Sartenais Valinco, 9 998    , 522    
242020071,CC du Centre Corse, 6 655    , 364    
242020105,CC de Calvi Balagne, 12 451    , 554    
242100154,CC des Vallées de la Tille et de l'Ignon, 6 008    , 297    
242100410,Dijon Métropole, 134 377    , 7 704    
242101434,CC du Pays Châtillonnais, 13 157    , 708    
242101442,CC de Saulieu, 3 888    , 212    
242101459,CC du Pays d'Alésia et de la Seine, 4 660    , 219    
242101491,CC du Montbardois, 6 262    , 324    
242101509,CC Rives de Saône, 10 109    , 446    
242200715,CC du Kreiz-Breizh (Cckb), 12 515    , 527    
242400752,CC Périgord-Limousin, 9 644    , 446    
242400935,CC du Pays de Saint-Aulaye, 4 051    , 149    
242401024,CC Isle-Loue-Auvézère en Périgord, 9 466    , 391    
242500320,CC de Montbenoît, 3 336    , 149    
242500338,CC du Grand Pontarlier, 13 473    , 1 003    
242500361,CA du Grand Besançon, 101 830    , 5 829    
242504116,CC du Val de Morteau, 9 950    , 539    
242504181,CC des Portes du Haut-Doubs, 11 200    , 668    
242504355,CC du Plateau de Russey, 2 860    , 139    
242504371,CC du Pays de Sancey-Belleherbe, 2 866    , 149    
242504447,CC du Doubs Baumois, 7 766    , 418    
